Target,Horizon,Method,expert,pc,diff_pc_minus_expert,pc_wins,Asset
BTC,21,DML,2226.189329,2176.096297,-50.093031999999766,True,Bitcoin
BTC,5,DML,2186.665869,2165.354526,-21.31134299999985,True,Bitcoin
BTC,1,DML,2181.523279,2167.729013,-13.79426599999988,True,Bitcoin
BTC,21,CausalImpact,2162.667169,2153.361135,-9.306033999999727,True,Bitcoin
BTC,1,CausalImpact,2147.622085,2144.528574,-3.093511000000035,True,Bitcoin
ETH,21,DML,121.429503,118.497681,-2.931821999999997,True,Ethereum
ETH,1,CausalImpact,117.905108,116.948762,-0.9563459999999964,True,Ethereum
IndProd,3,DML,2.851437,2.381727,-0.46971000000000007,True,IndProd
Gold,1,CausalImpact,47.704675,47.373313,-0.3313619999999986,True,Gold
IndProd,3,VAR+Granger,1.768284,1.579333,-0.18895099999999987,True,IndProd
UMCSENT,3,IV-2SLS,4.468871,4.311993,-0.15687799999999985,True,UMCSENT
CPI,3,VAR+Granger,0.615532,0.465152,-0.15037999999999996,True,CPI
ETH,5,DML,121.763758,121.614277,-0.14948099999999442,True,Ethereum
UMCSENT,3,DML,5.080522,4.93137,-0.14915199999999995,True,UMCSENT
ETH,21,CausalImpact,115.63662,115.495831,-0.14078899999999805,True,Ethereum
USDJPY,1,VAR+Granger,0.840031,0.701025,-0.13900599999999996,True,USD/JPY
CPI,3,DML,0.639858,0.530181,-0.10967700000000002,True,CPI
CPI,1,VAR+Granger,0.621179,0.51627,-0.10490900000000003,True,CPI
CPI,6,DML,0.69529,0.601012,-0.09427799999999997,True,CPI
CPI,3,CausalImpact,0.665208,0.587648,-0.07756000000000007,True,CPI
CPI,6,VAR+Granger,0.534993,0.464263,-0.07073000000000007,True,CPI
IndProd,6,VAR+Granger,1.87246,1.810157,-0.062303,True,IndProd
ETH,5,CausalImpact,116.698605,116.636312,-0.06229299999999682,True,Ethereum
Gold,21,CausalImpact,47.444788,47.409023,-0.03576500000000493,True,Gold
CPI,6,CausalImpact,0.648271,0.618379,-0.02989200000000003,True,CPI
Gold,5,VAR+Granger,47.095325,47.078983,-0.016342000000001633,True,Gold
USDJPY,1,CausalImpact,0.703243,0.690837,-0.012405999999999917,True,USD/JPY
USDJPY,1,DML,0.728249,0.716776,-0.011473000000000066,True,USD/JPY
IndProd,1,DML,2.209362,2.198584,-0.010778000000000176,True,IndProd
USDJPY,5,VAR+Granger,0.889777,0.880754,-0.009023000000000003,True,USD/JPY
Gold,21,VAR+Granger,47.288138,47.280676,-0.007461999999996749,True,Gold
Gold,5,CausalImpact,47.143942,47.138039,-0.005903000000003544,True,Gold
WTI_oil,21,CausalImpact,1.89893,1.895296,-0.003633999999999915,True,WTI Oil
WTI_oil,5,VAR+Granger,1.872344,1.870841,-0.001503000000000032,True,WTI Oil
Gold,1,VAR+Granger,47.203213,47.201723,-0.0014899999999968827,True,Gold
NatGas,1,IV-2SLS,0.936616,0.93557,-0.0010459999999999914,True,Nat.Gas
GBPUSD,1,VAR+Granger,0.006784,0.006287,-0.000497,True,GBP/USD
EURUSD,1,VAR+Granger,0.006109,0.005638,-0.00047100000000000006,True,EUR/USD
GBPUSD,1,DML,0.007113,0.006709,-0.0004040000000000007,True,GBP/USD
WTI_oil,21,VAR+Granger,1.884744,1.884419,-0.0003249999999999087,True,WTI Oil
EURUSD,1,CausalImpact,0.005112,0.004917,-0.00019499999999999986,True,EUR/USD
NatGas,5,IV-2SLS,0.930477,0.930369,-0.00010799999999999699,True,Nat.Gas
GBPUSD,1,CausalImpact,0.006153,0.006056,-9.699999999999986e-05,True,GBP/USD
EURUSD,5,VAR+Granger,0.005006,0.004936,-6.999999999999975e-05,True,EUR/USD
EURUSD,1,DML,0.00501,0.005001,-8.99999999999946e-06,True,EUR/USD
EURUSD,21,CausalImpact,0.005026,0.005018,-8.000000000000194e-06,True,EUR/USD
USDJPY,21,VAR+Granger,0.90427,0.904263,-6.999999999979245e-06,True,USD/JPY
EURUSD,21,VAR+Granger,0.004933,0.004932,-1.0000000000001327e-06,True,EUR/USD
EURUSD,5,IV-2SLS,0.00499,0.00499,0.0,False,EUR/USD
Gold,21,IV-2SLS,47.400966,47.400966,0.0,False,Gold
GBPUSD,21,IV-2SLS,0.005949,0.005949,0.0,False,GBP/USD
GBPUSD,1,IV-2SLS,0.005601,0.005601,0.0,False,GBP/USD
GBPUSD,5,IV-2SLS,0.00595,0.00595,0.0,False,GBP/USD
IndProd,1,IV-2SLS,1.903343,1.903343,0.0,False,IndProd
IndProd,3,IV-2SLS,1.903822,1.903822,0.0,False,IndProd
EURUSD,21,IV-2SLS,0.005059,0.005059,0.0,False,EUR/USD
EURUSD,1,IV-2SLS,0.00491,0.00491,0.0,False,EUR/USD
Gold,5,IV-2SLS,47.331418,47.331418,0.0,False,Gold
NatGas,5,VAR+Granger,0.204987,0.204987,0.0,False,Nat.Gas
NatGas,21,VAR+Granger,0.219264,0.219264,0.0,False,Nat.Gas
NatGas,1,VAR+Granger,0.200619,0.200619,0.0,False,Nat.Gas
Gold,1,IV-2SLS,47.333335,47.333335,0.0,False,Gold
BTC,1,IV-2SLS,2138.402773,2138.402773,0.0,False,Bitcoin
IndProd,6,IV-2SLS,2.51313,2.51313,0.0,False,IndProd
ETH,5,VAR+Granger,115.008719,115.008719,0.0,False,Ethereum
BTC,21,IV-2SLS,2148.175319,2148.175319,0.0,False,Bitcoin
BTC,5,IV-2SLS,2147.733853,2147.733853,0.0,False,Bitcoin
ETH,1,VAR+Granger,115.366974,115.366974,0.0,False,Ethereum
ETH,5,IV-2SLS,115.007858,115.007858,0.0,False,Ethereum
