Asset,Target,Group,Freq,Horizon,ControlSet,Method,Type,RMSE,MAE,MAPE,R2
WTI Oil,WTI_oil,A,D,1,Heuristic-Z,CausalImpact,Causal,1.965191,1.303985,160692289.0957,-0.0871
WTI Oil,WTI_oil,A,D,1,Heuristic-Z,DML,Causal,2.00441,1.329017,138105109.4906,-0.1295
WTI Oil,WTI_oil,A,D,1,Heuristic-Z,VAR+Granger,Causal,1.928917,1.293924,143462106.0299,-0.0478
WTI Oil,WTI_oil,A,D,1,Heuristic-Z,IV-2SLS,Causal,1.875771,1.252738,47948193.1368,0.0096
WTI Oil,WTI_oil,A,D,5,Heuristic-Z,CausalImpact,Causal,1.879471,1.280973,339893947.4138,0.0069
WTI Oil,WTI_oil,A,D,5,Heuristic-Z,DML,Causal,2.078088,1.340803,616299749.9093,-0.2141
WTI Oil,WTI_oil,A,D,5,Heuristic-Z,VAR+Granger,Causal,1.875442,1.254999,16899042.2675,0.0095
WTI Oil,WTI_oil,A,D,5,Heuristic-Z,IV-2SLS,Causal,1.888587,1.258214,105923913.8375,-0.0028
WTI Oil,WTI_oil,A,D,21,Heuristic-Z,CausalImpact,Causal,1.8828,1.266447,114499503.6922,0.0063
WTI Oil,WTI_oil,A,D,21,Heuristic-Z,DML,Causal,1.892661,1.272033,187013592.2458,-0.003
WTI Oil,WTI_oil,A,D,21,Heuristic-Z,VAR+Granger,Causal,1.884422,1.254076,770612.143,-0.0
WTI Oil,WTI_oil,A,D,21,Heuristic-Z,IV-2SLS,Causal,1.884507,1.256923,45954574.1725,0.0045
WTI Oil,WTI_oil,A,D,1,Expert-DAG,CausalImpact,Causal,1.929098,1.290155,162370272.6698,-0.0475
WTI Oil,WTI_oil,A,D,1,Expert-DAG,DML,Causal,2.059159,1.358489,78307337.2383,-0.1921
WTI Oil,WTI_oil,A,D,1,Expert-DAG,VAR+Granger,Causal,1.906326,1.27141,137719604.3818,-0.0234
WTI Oil,WTI_oil,A,D,1,Expert-DAG,IV-2SLS,Causal,1.878572,1.25353,46354726.6329,0.0067
WTI Oil,WTI_oil,A,D,5,Expert-DAG,CausalImpact,Causal,1.880274,1.264173,125012874.9492,0.006
WTI Oil,WTI_oil,A,D,5,Expert-DAG,DML,Causal,1.981507,1.298916,70964804.7651,-0.1039
WTI Oil,WTI_oil,A,D,5,Expert-DAG,VAR+Granger,Causal,1.872344,1.25541,52524972.501,0.0128
WTI Oil,WTI_oil,A,D,5,Expert-DAG,IV-2SLS,Causal,1.888664,1.25559,112271185.854,-0.0028
WTI Oil,WTI_oil,A,D,21,Expert-DAG,CausalImpact,Causal,1.901553,1.281814,142841373.5787,-0.0136
WTI Oil,WTI_oil,A,D,21,Expert-DAG,DML,Causal,1.940998,1.30448,33291989.7896,-0.0548
WTI Oil,WTI_oil,A,D,21,Expert-DAG,VAR+Granger,Causal,1.884744,1.254772,18425318.6723,-0.0004
WTI Oil,WTI_oil,A,D,21,Expert-DAG,IV-2SLS,Causal,1.886692,1.258487,41403344.8859,0.0022
WTI Oil,WTI_oil,A,D,1,PC-DAG,CausalImpact,Causal,1.984557,1.311218,127735542.9357,-0.1086
WTI Oil,WTI_oil,A,D,1,PC-DAG,DML,Causal,2.407301,1.424056,99018629.7253,-0.6292
WTI Oil,WTI_oil,A,D,1,PC-DAG,VAR+Granger,Causal,1.912742,1.277852,145694189.7762,-0.0303
WTI Oil,WTI_oil,A,D,1,PC-DAG,IV-2SLS,Causal,1.880025,1.25333,57870553.3528,0.0051
WTI Oil,WTI_oil,A,D,5,PC-DAG,CausalImpact,Causal,1.903419,1.285822,317099363.5663,-0.0186
WTI Oil,WTI_oil,A,D,5,PC-DAG,DML,Causal,2.067318,1.305093,106358378.3581,-0.2015
WTI Oil,WTI_oil,A,D,5,PC-DAG,VAR+Granger,Causal,1.870841,1.251312,21748785.9608,0.0143
WTI Oil,WTI_oil,A,D,5,PC-DAG,IV-2SLS,Causal,1.887964,1.256186,117929906.563,-0.0021
WTI Oil,WTI_oil,A,D,21,PC-DAG,CausalImpact,Causal,1.89712,1.27334,118140424.1209,-0.0089
WTI Oil,WTI_oil,A,D,21,PC-DAG,DML,Causal,1.935433,1.294143,96454315.3166,-0.0488
WTI Oil,WTI_oil,A,D,21,PC-DAG,VAR+Granger,Causal,1.884419,1.254057,496495.1263,-0.0
WTI Oil,WTI_oil,A,D,21,PC-DAG,IV-2SLS,Causal,1.885958,1.258857,49026676.3195,0.0029
Nat.Gas,NatGas,A,D,1,Heuristic-Z,CausalImpact,Causal,0.266725,0.154969,5.1104,0.8731
Nat.Gas,NatGas,A,D,1,Heuristic-Z,DML,Causal,0.267868,0.160164,5.2943,0.872
Nat.Gas,NatGas,A,D,1,Heuristic-Z,VAR+Granger,Causal,0.200619,0.111468,3.6984,0.9281
Nat.Gas,NatGas,A,D,1,Heuristic-Z,IV-2SLS,Causal,0.267236,0.155304,5.1161,0.8726
Nat.Gas,NatGas,A,D,5,Heuristic-Z,CausalImpact,Causal,0.463435,0.278588,9.1267,0.6169
Nat.Gas,NatGas,A,D,5,Heuristic-Z,DML,Causal,0.493014,0.29049,9.4227,0.5664
Nat.Gas,NatGas,A,D,5,Heuristic-Z,VAR+Granger,Causal,0.204987,0.120483,4.0593,0.925
Nat.Gas,NatGas,A,D,5,Heuristic-Z,IV-2SLS,Causal,0.453203,0.274746,8.9935,0.6336
Nat.Gas,NatGas,A,D,21,Heuristic-Z,CausalImpact,Causal,0.680238,0.466782,16.2645,0.177
Nat.Gas,NatGas,A,D,21,Heuristic-Z,DML,Causal,0.768047,0.54822,19.0114,-0.0485
Nat.Gas,NatGas,A,D,21,Heuristic-Z,VAR+Granger,Causal,0.219264,0.145311,5.203,0.9142
Nat.Gas,NatGas,A,D,21,Heuristic-Z,IV-2SLS,Causal,0.640429,0.440043,15.3998,0.2705
Nat.Gas,NatGas,A,D,1,Expert-DAG,CausalImpact,Causal,0.266299,0.154999,5.1133,0.8735
Nat.Gas,NatGas,A,D,1,Expert-DAG,DML,Causal,0.268532,0.160154,5.2728,0.8714
Nat.Gas,NatGas,A,D,1,Expert-DAG,VAR+Granger,Causal,0.200619,0.111468,3.6984,0.9281
Nat.Gas,NatGas,A,D,1,Expert-DAG,IV-2SLS,Causal,0.267236,0.155304,5.1161,0.8726
Nat.Gas,NatGas,A,D,5,Expert-DAG,CausalImpact,Causal,0.462918,0.278125,9.1234,0.6177
Nat.Gas,NatGas,A,D,5,Expert-DAG,DML,Causal,0.490548,0.289055,9.3975,0.5708
Nat.Gas,NatGas,A,D,5,Expert-DAG,VAR+Granger,Causal,0.204987,0.120483,4.0593,0.925
Nat.Gas,NatGas,A,D,5,Expert-DAG,IV-2SLS,Causal,0.453203,0.274746,8.9935,0.6336
Nat.Gas,NatGas,A,D,21,Expert-DAG,CausalImpact,Causal,0.676038,0.464868,16.2108,0.1872
Nat.Gas,NatGas,A,D,21,Expert-DAG,DML,Causal,0.768807,0.55063,19.0615,-0.0505
Nat.Gas,NatGas,A,D,21,Expert-DAG,VAR+Granger,Causal,0.219264,0.145311,5.203,0.9142
Nat.Gas,NatGas,A,D,21,Expert-DAG,IV-2SLS,Causal,0.640429,0.440043,15.3998,0.2705
Nat.Gas,NatGas,A,D,1,PC-DAG,CausalImpact,Causal,0.268039,0.155428,5.1219,0.8718
Nat.Gas,NatGas,A,D,1,PC-DAG,DML,Causal,0.270373,0.161363,5.278,0.8696
Nat.Gas,NatGas,A,D,1,PC-DAG,VAR+Granger,Causal,0.200619,0.111468,3.6984,0.9281
Nat.Gas,NatGas,A,D,1,PC-DAG,IV-2SLS,Causal,0.268073,0.156958,5.1815,0.8718
Nat.Gas,NatGas,A,D,5,PC-DAG,CausalImpact,Causal,0.45377,0.275704,9.0274,0.6327
Nat.Gas,NatGas,A,D,5,PC-DAG,DML,Causal,0.456983,0.282972,9.2047,0.6275
Nat.Gas,NatGas,A,D,5,PC-DAG,VAR+Granger,Causal,0.204987,0.120483,4.0593,0.925
Nat.Gas,NatGas,A,D,5,PC-DAG,IV-2SLS,Causal,0.459009,0.279689,9.1692,0.6242
Nat.Gas,NatGas,A,D,21,PC-DAG,CausalImpact,Causal,0.67267,0.460227,16.0611,0.1952
Nat.Gas,NatGas,A,D,21,PC-DAG,DML,Causal,0.694803,0.485291,16.9527,0.142
Nat.Gas,NatGas,A,D,21,PC-DAG,VAR+Granger,Causal,0.219264,0.145311,5.203,0.9142
Nat.Gas,NatGas,A,D,21,PC-DAG,IV-2SLS,Causal,0.646978,0.444074,15.6665,0.2555
Gold,Gold,A,D,1,Heuristic-Z,CausalImpact,Causal,47.783868,27.130632,677565802.5065,-0.0257
Gold,Gold,A,D,1,Heuristic-Z,DML,Causal,48.116027,27.767763,3548559589.2596,-0.0389
Gold,Gold,A,D,1,Heuristic-Z,VAR+Granger,Causal,47.253002,26.889167,688158964.9061,-0.004
Gold,Gold,A,D,1,Heuristic-Z,IV-2SLS,Causal,47.260956,26.781726,389384761.5173,-0.0034
Gold,Gold,A,D,5,Heuristic-Z,CausalImpact,Causal,47.178959,26.808826,504360006.3217,0.0012
Gold,Gold,A,D,5,Heuristic-Z,DML,Causal,48.160957,27.190792,747184044.5345,-0.0408
Gold,Gold,A,D,5,Heuristic-Z,VAR+Granger,Causal,47.26841,26.702416,49496165.7667,-0.0047
Gold,Gold,A,D,5,Heuristic-Z,IV-2SLS,Causal,47.272909,26.730411,444203580.261,-0.0028
Gold,Gold,A,D,21,Heuristic-Z,CausalImpact,Causal,47.403066,26.961241,603634640.7493,-0.0047
Gold,Gold,A,D,21,Heuristic-Z,DML,Causal,47.404416,27.233865,1503671705.488,-0.0036
Gold,Gold,A,D,21,Heuristic-Z,VAR+Granger,Causal,47.280735,26.687542,55159795.4006,-0.0052
Gold,Gold,A,D,21,Heuristic-Z,IV-2SLS,Causal,47.377812,26.784816,320503858.5188,-0.0037
Gold,Gold,A,D,1,Expert-DAG,CausalImpact,Causal,47.523062,26.979528,594005745.9447,-0.0145
Gold,Gold,A,D,1,Expert-DAG,DML,Causal,48.368977,27.854297,1265549460.6394,-0.0498
Gold,Gold,A,D,1,Expert-DAG,VAR+Granger,Causal,47.203213,26.915783,582987962.279,-0.0019
